material,material_category,old_material_number,procurement_group,container_reqmts,heel_type,upper_material,lining_material,in_sole_material,assortment_group,material_description,material_group,x_plant_matl_status,description,ext_material_group,brand,characteristic_value,color_number,color_name,characteristic_value,characteristic_value,item_type,text_lab_engineering_office,condition_amount
118-10001-041,2,10001,410,US,,,,,,"118-10001, 16, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,16,1,17,PLASTIC-BRANDED,1995
118-10001-042,2,10001,410,US,,,,,,"118-10001, 17, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,17,1,17,PLASTIC-BRANDED,1995
118-10001-043,2,10001,260,US,,,,,,"118-10001, 4, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,4,2,17,PLASTIC-BRANDED,1995
118-10001-044,2,10001,260,US,,,,,,"118-10001, 5, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,5,1,17,PLASTIC-BRANDED,1995
118-10001-045,2,10001,260,US,,,,,,"118-10001, 6, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,6,1,17,PLASTIC-BRANDED,1995
118-10001-046,2,10001,260,US,,,,,,"118-10001, 7, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,7,2,17,PLASTIC-BRANDED,1995
118-10001-047,2,10001,260,US,,,,,,"118-10001, 8, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,8,2,17,PLASTIC-BRANDED,1995
118-10001-048,2,10001,260,US,,,,,,"118-10001, 9, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,9,2,17,PLASTIC-BRANDED,1995
118-10001-049,2,10001,260,US,,,,,,"118-10001, 10, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,10,2,17,PLASTIC-BRANDED,1995
118-10001-050,2,10001,260,US,,,,,,"118-10001, 11, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,11,1,17,PLASTIC-BRANDED,1995
118-10001-051,2,10001,260,US,,,,,,"118-10001, 12, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,12,2,17,PLASTIC-BRANDED,1995
118-10001-052,2,10001,260,US,,,,,,"118-10001, 13, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,13,2,17,PLASTIC-BRANDED,1995
118-10001-053,2,10001,260,US,,,,,,"118-10001, 14, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,14,2,17,PLASTIC-BRANDED,1995
118-10001-054,2,10001,260,US,,,,,,"118-10001, 15, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,15,1,17,PLASTIC-BRANDED,1995
118-10001-055,2,10001,260,US,,,,,,"118-10001, 16, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,16,1,17,PLASTIC-BRANDED,1995
118-10001-056,2,10001,260,US,,,,,,"118-10001, 17, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,17,1,17,PLASTIC-BRANDED,1995
118-10001-057,2,10001,6L0,US,,,,,,"118-10001, 4, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,4,1,17,PLASTIC-BRANDED,1995
118-10001-058,2,10001,6L0,US,,,,,,"118-10001, 5, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,5,1,17,PLASTIC-BRANDED,1995
118-10001-059,2,10001,6L0,US,,,,,,"118-10001, 6, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,6,1,17,PLASTIC-BRANDED,1995
118-10001-060,2,10001,6L0,US,,,,,,"118-10001, 7, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,7,1,17,PLASTIC-BRANDED,1995
118-10001-061,2,10001,6L0,US,,,,,,"118-10001, 8, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,8,1,17,PLASTIC-BRANDED,1995
118-10001-062,2,10001,6L0,US,,,,,,"118-10001, 9, LIGHT PINK, 1",M70001951,5,NOT ASSIGNED,118,CRC,LP,78,LIGHT PINK,9,1,17,PLASTIC-BRANDED,1995
118-10001-063,2,10001,4EA,US,,,,,,"118-10001, 10, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,10,1,17,PLASTIC-BRANDED,1995
118-10001-064,2,10001,4EA,US,,,,,,"118-10001, 11, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,11,1,17,PLASTIC-BRANDED,1995
118-10001-065,2,10001,4EA,US,,,,,,"118-10001, 12, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,12,1,17,PLASTIC-BRANDED,1995
118-10001-066,2,10001,4EA,US,,,,,,"118-10001, 13, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,13,1,17,PLASTIC-BRANDED,1995
118-10001-067,2,10001,4EA,US,,,,,,"118-10001, 14, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,14,1,17,PLASTIC-BRANDED,1995
118-10001-068,2,10001,4EA,US,,,,,,"118-10001, 15, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,15,1,17,PLASTIC-BRANDED,1995
118-10001-069,2,10001,4EA,US,,,,,,"118-10001, 16, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,16,1,17,PLASTIC-BRANDED,1995
118-10001-070,2,10001,4EA,US,,,,,,"118-10001, 17, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,17,1,17,PLASTIC-BRANDED,1995
118-10001-071,2,10001,4EA,US,,,,,,"118-10001, 4, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,4,1,17,PLASTIC-BRANDED,1995
118-10001-072,2,10001,4EA,US,,,,,,"118-10001, 5, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,5,1,17,PLASTIC-BRANDED,1995
118-10001-073,2,10001,4EA,US,,,,,,"118-10001, 6, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,6,1,17,PLASTIC-BRANDED,1995
118-10001-074,2,10001,4EA,US,,,,,,"118-10001, 7, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,7,1,17,PLASTIC-BRANDED,1995
118-10001-075,2,10001,4EA,US,,,,,,"118-10001, 8, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,8,1,17,PLASTIC-BRANDED,1995
118-10001-076,2,10001,4EA,US,,,,,,"118-10001, 9, STONE, 1",M70001951,5,NOT ASSIGNED,118,CRC,STON,61,STONE,9,1,17,PLASTIC-BRANDED,1995
118-10001-077,2,10001,373,US,,,,,,"118-10001, 4, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,4,1,17,PLASTIC-BRANDED,1995
118-10001-078,2,10001,373,US,,,,,,"118-10001, 5, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,5,1,17,PLASTIC-BRANDED,1995
118-10001-079,2,10001,373,US,,,,,,"118-10001, 6, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,6,1,17,PLASTIC-BRANDED,1995
118-10001-080,2,10001,373,US,,,,,,"118-10001, 7, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,7,1,17,PLASTIC-BRANDED,1995
118-10001-081,2,10001,373,US,,,,,,"118-10001, 8, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,8,1,17,PLASTIC-BRANDED,1995
118-10001-082,2,10001,373,US,,,,,,"118-10001, 9, GREEN, 1",M70001951,5,NOT ASSIGNED,118,CRC,H,21,GREEN,9,1,17,PLASTIC-BRANDED,1995
118-10001-083,2,10001,404,US,,,,,,"118-10001, 10, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,10,1,17,PLASTIC-BRANDED,1995
118-10001-084,2,10001,404,US,,,,,,"118-10001, 11, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,11,1,17,PLASTIC-BRANDED,1995
118-10001-085,2,10001,404,US,,,,,,"118-10001, 4, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,4,1,17,PLASTIC-BRANDED,1995
118-10001-086,2,10001,404,US,,,,,,"118-10001, 5, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,5,1,17,PLASTIC-BRANDED,1995
118-10001-087,2,10001,404,US,,,,,,"118-10001, 6, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,6,1,17,PLASTIC-BRANDED,1995
118-10001-088,2,10001,404,US,,,,,,"118-10001, 7, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,7,1,17,PLASTIC-BRANDED,1995
118-10001-089,2,10001,404,US,,,,,,"118-10001, 8, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,8,1,17,PLASTIC-BRANDED,1995
118-10001-090,2,10001,404,US,,,,,,"118-10001, 9, LIGHT BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,LD,32,LIGHT BLUE,9,1,17,PLASTIC-BRANDED,1995
118-10001-091,2,10001,7C1,US,,,,,,"118-10001, 10, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,10,1,17,PLASTIC-BRANDED,1995
118-10001-092,2,10001,7C1,US,,,,,,"118-10001, 11, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,11,1,17,PLASTIC-BRANDED,1995
118-10001-093,2,10001,7C1,US,,,,,,"118-10001, 12, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,12,1,17,PLASTIC-BRANDED,1995
118-10001-094,2,10001,7C1,US,,,,,,"118-10001, 13, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,13,1,17,PLASTIC-BRANDED,1995
118-10001-095,2,10001,7C1,US,,,,,,"118-10001, 14, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,14,1,17,PLASTIC-BRANDED,1995
118-10001-096,2,10001,7C1,US,,,,,,"118-10001, 15, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,15,1,17,PLASTIC-BRANDED,1995
118-10001-097,2,10001,7C1,US,,,,,,"118-10001, 16, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,16,1,17,PLASTIC-BRANDED,1995
118-10001-098,2,10001,7C1,US,,,,,,"118-10001, 17, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,17,1,17,PLASTIC-BRANDED,1995
118-10001-099,2,10001,7C1,US,,,,,,"118-10001, 4, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,4,1,17,PLASTIC-BRANDED,1995
118-10001-100,2,10001,7C1,US,,,,,,"118-10001, 5, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,5,1,17,PLASTIC-BRANDED,1995
118-10001-101,2,10001,7C1,US,,,,,,"118-10001, 6, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,6,1,17,PLASTIC-BRANDED,1995
118-10001-102,2,10001,7C1,US,,,,,,"118-10001, 7, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,7,1,17,PLASTIC-BRANDED,1995
118-10001-103,2,10001,7C1,US,,,,,,"118-10001, 8, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,8,1,17,PLASTIC-BRANDED,1995
118-10001-104,2,10001,7C1,US,,,,,,"118-10001, 9, YELLOW, 1",M70001951,5,NOT ASSIGNED,118,CRC,Y,33,YELLOW,9,1,17,PLASTIC-BRANDED,1995
118-10001-105,2,10001,817,US,,,,,,"118-10001, 10, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,10,1,17,PLASTIC-BRANDED,1995
118-10001-106,2,10001,817,US,,,,,,"118-10001, 11, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,11,1,17,PLASTIC-BRANDED,1995
118-10001-107,2,10001,817,US,,,,,,"118-10001, 12, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,12,1,17,PLASTIC-BRANDED,1995
118-10001-108,2,10001,817,US,,,,,,"118-10001, 13, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,13,1,17,PLASTIC-BRANDED,1995
118-10001-109,2,10001,817,US,,,,,,"118-10001, 14, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,14,1,17,PLASTIC-BRANDED,1995
118-10001-110,2,10001,817,US,,,,,,"118-10001, 15, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,15,1,17,PLASTIC-BRANDED,1995
118-10001-111,2,10001,817,US,,,,,,"118-10001, 16, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,16,1,17,PLASTIC-BRANDED,1995
118-10001-112,2,10001,817,US,,,,,,"118-10001, 17, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,17,1,17,PLASTIC-BRANDED,1995
118-10001-113,2,10001,817,US,,,,,,"118-10001, 4, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,4,1,17,PLASTIC-BRANDED,1995
118-10001-114,2,10001,817,US,,,,,,"118-10001, 5, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,5,1,17,PLASTIC-BRANDED,1995
118-10001-115,2,10001,817,US,,,,,,"118-10001, 6, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,6,1,17,PLASTIC-BRANDED,1995
118-10001-116,2,10001,817,US,,,,,,"118-10001, 7, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,7,1,17,PLASTIC-BRANDED,1995
118-10001-117,2,10001,817,US,,,,,,"118-10001, 8, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,8,1,17,PLASTIC-BRANDED,1995
118-10001-118,2,10001,817,US,,,,,,"118-10001, 9, ORANGE, 1",M70001951,5,NOT ASSIGNED,118,CRC,O,25,ORANGE,9,1,17,PLASTIC-BRANDED,1995
118-10001-119,2,10001,410,US,,,,,,"118-10001, 10, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,10,1,17,PLASTIC-BRANDED,1995
118-10001-120,2,10001,410,US,,,,,,"118-10001, 4, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,4,1,17,PLASTIC-BRANDED,1995
118-10001-121,2,10001,410,US,,,,,,"118-10001, 5, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,5,1,17,PLASTIC-BRANDED,1995
118-10001-122,2,10001,410,US,,,,,,"118-10001, 6, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,6,1,17,PLASTIC-BRANDED,1995
118-10001-123,2,10001,410,US,,,,,,"118-10001, 7, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,7,1,17,PLASTIC-BRANDED,1995
118-10001-124,2,10001,410,US,,,,,,"118-10001, 8, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,8,1,17,PLASTIC-BRANDED,1995
118-10001-125,2,10001,410,US,,,,,,"118-10001, 9, BLUE/NAVY, 1",M70001951,5,NOT ASSIGNED,118,CRC,DN,17,BLUE/NAVY,9,1,17,PLASTIC-BRANDED,1995
118-10001-126,2,10001,6EN,US,,,,,,"118-10001, 10, RED, 1",M70001951,5,NOT ASSIGNED,118,CRC,E,18,RED,10,1,17,PLASTIC-BRANDED,1995
118-10001-127,2,10001,6EN,US,,,,,,"118-10001, 11, RED, 1",M70001951,5,NOT ASSIGNED,118,CRC,E,18,RED,11,1,17,PLASTIC-BRANDED,1995
118-10001-128,2,10001,6EN,US,,,,,,"118-10001, 12, RED, 1",M70001951,5,NOT ASSIGNED,118,CRC,E,18,RED,12,1,17,PLASTIC-BRANDED,1995
118-10001-129,2,10001,6EN,US,,,,,,"118-10001, 13, RED, 1",M70001951,5,NOT ASSIGNED,118,CRC,E,18,RED,13,1,17,PLASTIC-BRANDED,1995
118-10001-130,2,10001,6EN,US,,,,,,"118-10001, 4, RED, 1",M70001951,5,NOT ASSIGNED,118,CRC,E,18,RED,4,1,17,PLASTIC-BRANDED,1995
