Store,Store_Name,Brand,Type,State,City,Manager_Name,Address1,Email,Tel,Mobile,Open_Date,Close_Date
CHQ,CHQ - CHANDIGARH,CROCS,MALL,CHANDIGARH,CHANDIGARH,MR. DEEPAK SAHOTA,"UNIT NO.210B,2ND FLR, PLOT NO.178-178 /A,ELANTE MALL,INDUSTRIAL & BUSINESS PARK, PHASE I, CHANDIGARH- 160  002. ( CHANDIGARH)",chq@crocsindia.com,0172 - 5003800,078377 70558,09/08/15,
CIQ,CIQ- KOZHIKODE,CROCS,MALL,KERALA,KOZHIKODE,MR. MOHD.IMRAN GADI,"1003, T1, BUSINEES PARK, HILITE CITY, NH THONDAYED BYPASS, POOVANGAL, KOZHIKODE -673 014.   (KERALA)",ciq@crocsindia.com,0495 - 2432130,085890 37783,25/03/17,
CLQ,CLQ-KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. HABIB IQBAL,"CITY CENTER 1, BLOCK - D-011, SECTOR-1, SALT LAKE CITY, KOLKATA - 700 064 (W.BENGAL)",clq@crocsindia.com,033 40627455,9073983798,17/03/17,
CPQ,CPQ-COIMBATORE,CROCS,MALL,TAMILNADU,COIMBATORE,MR. A. ASLAM,"UNIT NO.G-19, PROZONE MALL, OLD SIVANANDHA MILLS,SIVANANDHAPURAM, SATHYA ROAD,COIMBATORE - 641035 (T,NADU)",cpq@crocsindia.com,0422-6628192,070944 31698,11/07/17,
CSQ,CSQ-KOLKATA (MANSAROVAR),CROCS,HIGH-STREET,WEST BANGAL,KOLKATA,MR.SUJOY KARMARMAR,"3B,CAMAC STREET, MANSAROVAR BUILDING, GROUND FLOOR,VARDHAN MKT,KOLKATA - 700016, (W.B)
",csq@crocsindia.com,033 40447380,9073360313,10/05/16,
DDQ,DDQ-DEHRADUN,CROCS,MALL,UTTARAKHAND,DHERADHUN,MR. BHUPENDRA SINGH,"LOWER GROUND,08B PACIFIC MALL, VILLAGE- MAUZA, JAKHAN RAIPUR ROAD, DEHRADOON - 248 009. (UTTRAKHAND)",ddq@crocsindia.com,0135 2738863,8394000291,21/07/16,
DEQ,DEQ-DELHI,CROCS,MALL,DELHI,DELHI,MR. MOHD. WASEEM,"F-31,FRIST FLOOR,COMMERICIL COMPLEX,V3S EAST CENTER DISTRICT CENTRE,LAXMI NAGAR, NEW DELHI - 110092 .",dcq@crocsindia.com,,9372714183,10/02/19,
DLQ,DLQ-DELHI,CROCS,HIGH-STREET,DELHI,DELHI,MR.PAWAN KUMAR,"SHOP NO.6/54, ON PLOT NO.54, BLOCK NO.6, MAIN AJMAL KHAN ROAD, KAROL BAUG , NEW DELHI - 110 005.",dlq@crocsindia.com,011 45007444,093136 39916,02/09/18,
DRQ,DRQ-DELHI,CROCS,HIGH-STREET,DELHI,DELHI,MR. NANDJEET KUMAR  PASWAN,"GROUND FLOOR, D-12/185,SAI BABA CHOUK, ROHANI SECTOR-8, NEW DELHI - 110 085.",drq@crocsindia.com,1142147700,8928001918,25/09/18,
DSQ,DSQ - DELHI,CROCS,SHOP-N-SHOP,DELHI,DELHI,MR. KAILASH NAGLIYA,"CROCS KIOSK, SELECT CITYWALK, 2ND FLOOR, PLOT NO. A - 3 & P - 1B, DISTRICT CENTRE, SAKET, NEW DELHI - 110 017",dsq@crocsindia.com,011 47013300,097118 09153,27/12/15,
DZQ,DZQ-GHAZIABAD,CROCS,MALL,UTTAR PRADESH,GHAZIABAD,MR. SUNDER LAL,"UNIT NO.169, FIRST  FLOOR, MAHAGUN METRO  MALL, SECTOR-3,VAISHALI ,GHAZIABAD,  201 010 (UP)",dzq@crocsindia.com,0120 - 4150443,9137525735,12/04/18,
FCQ,FCQ-KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. MOHAMMED IKRAM,"SHOP NO.B3, LOWER BASEMENT FLOOR, FORUM COURTYARD, ELGIN ROAD, BHOWANIPORE, KOLKATA - 700 020 (W.BENGAL)",fcq@crocsindia.com,033 46005734,9073983797,18/03/17,
FMQ,FMQ- BANGALURU,CROCS,MALL,KARNATAKA,BANGALURU,MR. MOHAMMED ALI NAMDAR,"THE FORUM, SHOP NO.9, GROUND FLOOR, KORAMAMGALA, BENGALURU - 560 095 (KARNATAKA)",fmq@crocsindia.com,080 - 22067690,095382 59345,22/02/17,
FSQ,FSQ- BANGALURU,CROCS,MALL,KARNATAKA,BANGALURU,MR. MOHAMMED THOUSIF,"THE FORUM, SHOP NO.108, 1ST FLOOR, SHANTINIKETAN MALL, WHITE FIELD ROAD, BENGALURU -560 666 (KARNATAKA)",fsq@crocsindia.com,080 - 25018065,8928627682,15/12/18,
GAQ,GAQ- GOA  AIRPORT,CROCS,SHOP-N-SHOP,GOA,DABOLIM,MR. JAVED KHAN,"UNIT CODEE/2, GOA  INTERNATIONAL AIRPORT (ARRIVALAS) DABOLIM -  403 801 (GOA)",gaq@crocsindia.com,,8928950601,04/01/19,
GDQ,GDQ- GURGAON,CROCS,MALL,HARYANA,GURGAON,MR. MOHD. AMJAD KHAN,"UNIT NO.A-6, UPPER GROUND FLOOR, ARDEE MALL, ARDEE CITY, SITUATED IN VILLAGE WAZIRABAD & BINDAPUR, GURGAON - 122003 (HARYANA)",gdq@crocsindia.com,0124-2806533,9372731932,03/03/19,
GGQ,GGQ- SHRI GANGANAGER,CROCS,HIGH-STREET,RAJASTHAN,SHRI GANGANAGAR,MR. RAHUL SHARMA,"SHOP NO.01,128-G-BLACK,OPP JAIN PETROL PUMP,ADJOINING OCTAVE SHOWROOM, NEAR SUKHDIA CIRCLE,SHRI GANGANAGAR- 335001 (RAJASTHAN)",ggq@crocsindia.com,0154-2472200,9326927214,08/08/18,
GMQ,GMQ- GOA,CROCS,HIGH-STREET,GOA,PANJIM,MR. AMIT NADHAWADE,"SHOP NO.2, OPP.OLD HIGH COURT, M.G.ROAD, NEAR METRO SHOES SHOWROOM, PANJIM -403001 (GOA)",gmq@crocsindia.com,0832-2226606,9082858758,27/09/17,
GOQ,GOQ- GOA,CROCS,HIGH-STREET,GOA,GOA,MR.PANKAJ PATIL,"UNIT NO.C-2, GROUND FLOOR, NAIKWADDO CALANGUTE, BARDEZ, GOA -403516  (GOA)",goq@crocsindia.com,0832 2277800,8928950612,21/06/16,
GTQ,GTQ- GHATKOPER,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. SHOAIB SAYYUM ALI,"STORE NO. F-47, R CITY  MALL ,LBS MARG, GHATKOPER (WEST), MUMBAI - 400 086. (MAHARASHTRA)",gtq@crocsindia.com,022-25173845,9082858755,30/12/17,
GUQ,GUQ-GUWAHTI,CROCS,HIGH-STREET,ASSAM,GUWAHATI,MR. AJAY NARAH,"GROUND  FLOOR,  ROYAL CIRCLE ,OPP- INDIAN OIL PETROL PUMP, ZOO ROAD GUWAHATI-781005 (ASSAM)",guq@crocsindia.com,0361 - 2208844,091270 09902,24/01/16,
HBQ,HBQ-HYDERABAD,CROCS,HIGH-STREET,TELANGANA,HYDERABAD,MR. MOHAMMED ABDUL WAJID,"SHOP NO.A-1,6-3-349, MILLENIUM SQUARE, NAGARJUNA CIRCLE, ROAD # 1, BANJARA HILL,HYDERABAD - 500 034.(TELANGANA )",hbq@crocsindia.com,040-48511844,9372785186,05/12/16,
HCQ,HCQ- HYDERABAD,CROCS,MALL,TELANGANA,HYDERABAD,MR. MOHAMMED NAVEED,"UNIT NO.GF-133, SARATH CITY CAPITAL MALL, SUREY NO.40, GACHIBOWALI MIYAPUR ROAD, KONDAPUR , OPP.ADITYA HEIGHTS, HYDERABAD -  500 084 (TELANGANA)",hcq@crocsindia.com,040-68218127,8928386570,04/11/18,
HFQ,HFQ- HYDERABAD,CROCS,MALL,TELANGANA,HYDERABAD,MR. SYED NASEER UDDIN,"SHOP NO.G-19, GROUND FLOOR, FORUM SUJANA MALL, KUKATPALLY,MALESHIYA TOWN,  HYDERABAD - 500 072.(TELANGANA )",hfq@crocsindia.com,040 30534298,9372785189,02/11/16,
HNQ,HNQ- HYDERABAD,CROCS,HIGH-STREET,TELANGANA,HYDERABAD,MR. MOHD FASIUDDIN,"SHOP NO.2, GROUND FLOOR, KUCHKULLA HOUSE, PLOT NI.3-6-108/2, HIMAYAT NAGAR, HARERABD (TELANGANA)",hnq@crocsindia.com,,9700412636,25/03/19,
HSQ,HSQ- HYDERABAD,CROCS,HIGH-STREET,TELANGANA,SECUNDERABAD,MR. MOHAMMED SAMEER,"125 MAHATMA  GANDHI RAOD , BEARING MUNICIPAL NO.1-7-297 / 4 & 5, SECUNDERABAD - 500 003 (TELANGANA)",hsq@crocsindia.com,040-48566652,8928950597,07/01/19,
IMQ,IMQ- MALAD,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. J. MOHD. GHOUSE,"SHOP NO.221, 2ND FLOOR, INFINITI MALL, LINK ROAD, MALAD  (WEST), MUMBAI - 400 064. (MAHARASHTRA)",imq@crocsindia.com,022 28809798,9137525742,22/04/18,
IPQ,IPQ- IMPHAL,CROCS,HIGH-STREET,MANIPUR,IMPHAL,MR. PRANIT SUBBA,"THANGMEIBAND MEISNAM LEIKAI, KOK SAM LAI BUILDING OPPOSITE TO THAU GROUND, IMPHAL,MANIPUR-795001  (MANIPUR)",ipq@crocsindia.com,7085079685,9152035713,25/08/18,
ISQ,ISQ- INDORE,CROCS,MALL,MADHYA PRADESH,INDORE,MR. MEHDI HASAN ZAIDI,"S-06, 2ND FLOOR, TREASURE ISLAND MALL,, 11, SOUTH TUKOGANJ, M.G. ROAD, INDORE - 452 001 (MP)",isq@crocsindia.com,0731 4050670,8878900051,06/07/18,
ITQ,ITQ- ITANAGAR,CROCS,HIGH-STREET,ARUNACHAL PRADESH,ITA NAGER,MR. SIDDHARTH LAMA,"GROUD FLOOR,D-SECTOR,RWD COLONY,PAPUM PARE, NH-52A,ITA NAGAR, ITA NAGAR MAIN ROAD,               ITA NAGAR - 791 111 (ARUNACHAL PRADESH) )",itq@crocsindia.com,0360 2291016,9082822539,26/10/17,
JHQ,JHQ-JAMSHEDPUR,CROCS,HIGH STREET,JHARKHAND,JAMSHEDPUR,MR. ABILASH SINGH,"GROUND FLOOR,HINDUSTAN BUILDING, MAIN ROAD, BISTUPUR, JAMSHEDPUR- 831 001. (JHARKHAND)",jhq@crocsindia.com,0657 - 2249349,9326927215,21/08/18,
JLQ,JLQ-JALANDHAR,CROCS,HIGH-STREET,PUNJAB,JALANDHAR,MR. GAURAV DATT BHATT,"SHOP NO. 496-L, MODEL TOWN, JALANDHAR, PUNJAB - 144 003.",jlq@crocsindia.com,0181-5125800,9137523823,17/02/18,
JMQ,JMQ-JAIPUR,CROCS,MALL,RAJASTHAN,JAIPUR,MR. DEEPAK VAISHNAV,"SHOP NO.10,GROUND FLOOR, MGF METROPOLITAN MALL, BAIS  GODOWN, JAIPUR- 302001 (RAJASTHAN)",jmq@crocsindia.com,0141-4916774,8928001915,05/08/17,
JPQ,JPQ-JAIPUR,CROCS,HIGH-STREET,RAJASTHAN,JAIPUR,MS. RANU VAISHNAV,"SHOP NO.107, SONI HOUSE, PANCHBATTI, MI ROAD, JAIPUR - 302 001 (RAJASTHAN)",jpq@crocsindia.com,0141 4029181,8928406195,08/11/18,
KCQ,KCQ- KOCHI,CROCS,HIGH STREET,KERALA,KOCHI,MS. LAVINA SHAHANI,"SHOP NO.66 / 4248, M.G.ROAD, ERNAKULAM, COCHIN, 682035 (KERALA)",kcq@crocsindia.com,0484-4871614,9372731940,14/03/19,
KLQ,KLQ-KOCHI,CROCS,MALL,KERALA,KOCHI,MR. ANWAR P.Z.,"S 06, 34/1000, NH 47, LULU INTERNATIONAL SHOPPING MALL, EDAPALLY, KOCHI - 682 024 .(CST-3207174349 C) (KERALA)",klq@crocsindia.com,0484 - 4051442,8593877783,02/04/16,
KPQ,KPQ- KURLA,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. NAEEM MEMON,"SHOP NO.G-34,PHOENIX MARKETCITY MALL, LBS ROAD, KURLA ,(WEST),MUMBAI - 400 070. (MAHARASHTRA)",kpq@crocsindia.com,022 - 61801354,8879443189,17/03/16,
KRQ,KRQ- KEMPS  CORNER,CROCS,HIGH-STREET,MAHARASHTRA,MUMBAI,MR. ABID PATEL,"GROUND FLOOR, SHOP NO .D,  INDIA HOUSE NO.2, KEMPS  CORNER , MUMBAI - 4000 36. (MAHARASHTRA)",krq@crocsindia.com,022-23854152,8928406198,08/04/18,
LGQ,LGQ-LUCKNOW,CROCS,MALL,UTTAR PRADESH,LUCKNOW,MR. ASAD HUSSAIN SYED,"UNIT NO.108 B, UPPER GROUND FLOOR, FUN REPUBLIC MALL, BHIKAMNAGAR, GOMATI NAGAR, LUCKNOW - 226 010 (UP)",lgq@crocsindia.com,0522 - 4066691,8588898083,22/09/16,
LKQ,LKQ- LINKING ROAD,CROCS,HIGH-STREET,MAHARASHTRA,MUMBAI,MR. RAIS QURESHI,"SHOP NO.2, KADAMB HOUSE, PLOT NO.532, TPS III, BANDRA LINKING ROAD, KHAR (WEST) , MUMBAI - 400 52. (MAHARASHTRA)",lkq@crocsindia.com,022 - 26460660,8879802975,11/06/16,
LMQ,LMQ- LUDHIANA,CROCS,MALL,PUNJAB,LUDHIANA,MR. RANJIT,"UNIT NO.FF-07,FIRST FLOOR, MBD NEOPOLIS MALL, FEROZEPUR ROAD, RAJGURU NAGAR, LUDHIANA - 141001 (PUNJAB)",lmq@crocsindia.com,0161-4633430,9780888575,05/06/17,
LSQ,LSQ -LUDHIANA,CROCS,MALL,PUNJAB,LUDHIANA,MR. VISHAL KALYAN,"UNIT NO.FF-11,FIRST FLOOR, SILIVER ARC MALL, PLOT NO-B-XX-622, FEROZEPUR ROAD,  LUDHIANA - 141001  (PUNJAB)",lsq@crocsindia.com,0161-4508434,9137525695,23/03/18,
LUQ,LUQ-LUCKNOW,CROCS,MALL,UTTAR PRADESH,LUCKNOW,MR. IRFAN AGHA,"UNIT NO.219, SECOND FLOOR, SAHARA GANJ MALL, SHAHNAJAF  ROAD, HAZRAT GUNJ, LUCKNOW - 226 001. (UP)",luq@crocsindia.com,0522 - 4063510,9554960093,17/05/15,
MAQ,MAQ- MUMBAI-AIR PORT (C),CROCS,SHOP-N-SHOP,MAHARASHTRA,MUMBAI,MR.FARAZ AHMED,"E5-3111A, TERMINAL T2 ,LAVEL-3  SECURITY HOLD AREA , MUMBAI  INTERNATIONAL AIRPORT, MUMBAI - 400 099. (MAHARASHTRA)",maq@crocsindia.com,,8879248005,01/12/16,
MDQ,MDQ- MUMBAI-AIR PORT,CROCS,SHOP-N-SHOP,MAHARASHTRA,MUMBAI,MR. MOHSIN KHAN,"TERMINAL 1, CSIA, AIRPORT, MUMBAI - 400 099. (MAHARASHTRA)",mdq@crocsindia.com,,8291935591,06/12/17,
MEQ,MEQ-CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. A. IBRAHIM,"S247, 2ND FLOOR, EXPRESS AVENUE MALL, NO.9, 45/50, WHITE ROAD, ROYAPETHA, CHENNAI - 600 014. ( T. NADU)",meq@crocsindia.com,044 - 42181517,098849 29250,05/08/16,
MFQ,MFQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. SAYED ABU TAHIR,"SHP NO.LG-18, FORUM VIJAYA MALL, VADAPALANI, CHENNAI - 60 026 (T.NADU)",mfq@crocsindia.com,,8072656017,16/04/19,
MGQ,MGQ- MANGALORE,CROCS,MALL,KARNATAKA,MANGALORE,MS.  RAMYASHREE,"SHOP NO.UGF-14C,UPPER FLOOR, FORUM FIZA MALL, PANDESHWAR, MANGALORE - 575 001 (KARNATAKA)",mgq@crocsindia.com,0824 - 2498256,9137525697,11/04/18,
MHQ,MHQ- MOHALI,CROCS,MALL,PUNJAB,MOHALI,MR. SURINDER KUMAR,"SHOP NO.G-61, GROUND FLOOR, VR PUNJAB MALL, NH-21, MOHALI KHARAR ROAD, SAHIBZADA, AJIT SINGH NAGAR, MOHALI - 160055. (PUNJAB)",mhq@crocsindia.com,0172 6703374,9780888131,30/12/16,
MKQ,MKQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. C. NAGARAJAN,"UNIT NO.G-44, PHOENIX MARKET CITY MALL, PLOT NO.142, VELACHERY ROAD, VELACHERY, -600042.(T.NADU)",mkq@crocsindia.com,044-61153090,8939710105,17/07/17,
MMQ,MMQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MS. KATHIJA FATHIMA,"SHOP NO  F-011 , THE MARINA MALL 1 ST FLOOR EGATTUR VILLAGE,OLD MAHAPALIPURAM ROAD,TAMILNADU-CHENNAI-603103SHOP NO  F-011 , THE MARINA MALL 1 ST FLOOR",mmq@crocsindia.com,044-40173049,9372731943,23/03/19,
MNQ,MNQ- MANIPAL,CROCS,HIGH-STREET,KARNATAKA,MANIPAL,MR. SEKH AKRAM,"SHOP NO.4-12-D21,GROUND FLOOR,GRENVIEW APARTMENT,NEAR LAKSMINDA NAGAR,MANIPAL-UDUPI ROAD,MANIPAL-576104 (KARNATAKA)",mnq@crocsindia.com,0820 - 4296999,8928624118,01/09/17,
MOQ,MOQ- MYSORE,CROCS,MALL,KARNATAKA,MYSORE,MR. MOHD. UMAR,"THE FORUM, SHOP NO.4, UPPER GROUND FLOOR, MALL OF MYSORE, NAZARBAD MOHALLA, MYSORE - 570 010 (KARNATAKA)",moq@crocsindia.com,0821 - 2300404,079770 91171,08/01/18,
MRQ,MRQ- MANGALORE,CROCS,MALL,KARNATAKA,MANGALORE,MR. CHANDRAHASA,"UNIT NO. 14C 715, FRIST FLOOR, CITY CENTER MALL, K.S. ROAD, HAMPANAKATTA, MANGALORE - 575 001 (KARNATAKA)",mrq@crocsindia.com,0824 -  4255517,8928624113,13/11/16,
MVQ,MVQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. MAHAMMED KHAN,"SHOP NO.19, FRIST FLOOR, #44, PILLAIYAR KOIL, JAWAHARLAL NEHERU ROAD, ANNA NAGAR, CHENNAI - 600 40 (T.NADU)",mvq@crocsindia.com,044-66622344,8928406191,16/11/18,
NDQ,NDQ-NOIDA,CROCS,MALL,UTTAR PRADESH,NOIDA,MR. SUDHIR RAWAT,"UNIT NO D-16A, LOWER GROUND FLOOR, PLOT NO- M-03, SECTOR -18, DLF MALL OF INDIA ,NOIDA - 201301. (UP)",ndq@crocsindia.com,0120-6209913,9711809198,28/02/16,
NGQ,NGQ- NOIDA,CROCS,MALL,UTTAR PRADESH,NOIDA,MR. NIRAJ KUMAR,"SHOP NO.61, GROUND FLOOR, THE GREAT INDIA PLACE MALL, SECTOR-38A, NOIDA - 201301. (UP)",ngq@crocsindia.com,0120 - 4101992,8588878847,20/07/16,
NKQ,NKQ - NASIK,CROCS,MALL,MAHARASHTRA,NASIK,MR. NADIM SHAIKH,"MFS- 02(A), UPPER GROUNF, PLOT NO.117 TO 133, CITY CENTER MALL, LAWATE NAGAR, UNTWADI ROAD, NASIK - 422 0027 (MAHARASHTRA)",nnq@crocsindia.com,0253 - 2319316,9372506463,30/03/19,
NPQ,NPQ- NAGPUR,CROCS,HIGH-STREET,MAHARASHTRA,NAGPUR,MR. MOHD.IMRAN ANWAR QURESHI,"GROUND FLOOR, SHUKLA BHAVAN , WEST HIGH COURT ROAD, NEAR  SHANKAR NAGAR, DHARMPETH NAGPUR -440010 (MAHARASHTRA)",npq@crocsindia.com,0712-2555383,9326901628,13/07/18,
PDQ,PDQ-PUDUCHERRY,CROCS,HIGH-STREET,PUDUCHERRY,PUDUCHERRY,MR. A. PRAKESH,"GROUND FLOOR, SHOP NO.29, OLD NO.5, SENTHA COMPLEX, JAWAHARLAL NEHRU STREET,  PUDUCHERRY - 605 001.",pdq@crocsindia.com,0413-4207795,8928627769,28/12/18,
PFQ,PFQ- PATNA,CROCS,HIGH-STREET,BIHAR,PATNA,MR. RAJ KISHORE ROY,"HOLDING NO.208/A/53, GROUND FLOOR. BESIDE BANK OF BARODA, BELOW PUNJAB & SIND BANK, FRAZER ROAD, PATNA - 800001 (BHIHAR)",pfq@crocsindia.com,0612 - 2200114,9137525696,16/03/18,
PHQ,PHQ- PHOENIX  CROCS,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. IMRAN ALI BANA,"UNIT NO.G-10, GROUND FLOOR, GRAND GALLERIA, PHOENIX MILLS COMPUND, 462, SENAPATI BAPAT MARG, LOWER PAREL, MUMBAI- 400 013. (MAHARASHTRA)",phq@crocsindia.com,022 -  40236296,8291100857,12/11/16,
PJQ,PJQ- PUNE J.M. ROAD.,CROCS,HIGH-STREET,MAHARASHTRA,PUNE,MR. SHAHRUKH SHAIKH,"GROUND FLOOR, SHOP NO.G1, (101 AND 102), BORAWAKE TOWER, JANGALI MAHARAJ ROAD, SHIVAJI NAGAR, PUNE - 411004  (MAHARASHTRA)",pjq@crocsindia.com,020 -  25511622,8879816985,10/06/16,
