acnm,acname,brand,typenm,state_nm,city,mgr_nm,del_add1,email,tel,mob1,op_dt
CIQ,CIQ- KOZHIKODE,CROCS,MALL,KERALA,KOZHIKODE,MR. MOHD.IMRAN GADI,"1003, T1, BUSINEES PARK, HILITE CITY, NH THONDAYED BYPASS, POOVANGAL, KOZHIKODE -673 014. (KERALA)",ciq@crocsindia.com,0495 - 2432130,085890 37783,2017-03-25
CLQ,CLQ-KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. HABIB IQBAL,"CITY CENTER 1, BLOCK - D-011, SECTOR-1, SALT LAKE CITY, KOLKATA - 700 064 (W.BENGAL)",clq@crocsindia.com,033 40627455,9073983798,2017-03-17
CPQ,CPQ-COIMBATORE,CROCS,MALL,TAMILNADU,COIMBATORE,MR. A. ASLAM,"UNIT NO.G-19, PROZONE MALL, OLD SIVANANDHA MILLS,SIVANANDHAPURAM, SATHYA ROAD,COIMBATORE - 641035 (T,NADU)",cpq@crocsindia.com,0422-6628192,070944 31698,2017-07-11
CSQ,CSQ-KOLKATA (MANSAROVAR),CROCS,HIGH-STREET,WEST BANGAL,KOLKATA,MR.SUJOY KARMARMAR,"3B,CAMAC STREET, MANSAROVAR BUILDING, GROUND FLOOR,VARDHAN MKT,KOLKATA - 700016, (W.B)",csq@crocsindia.com,033 40447380,9073360313,2016-05-10
DDQ,DDQ-DEHRADUN,CROCS,MALL,UTTARAKHAND,DHERADHUN,MR. BHUPENDRA SINGH,"LOWER GROUND,08B PACIFIC MALL, VILLAGE- MAUZA, JAKHAN RAIPUR ROAD, DEHRADOON - 248 009. (UTTRAKHAND)",ddq@crocsindia.com,0135 2738863,8394000291,2016-07-21
DLQ,DLQ-DELHI CROCS,CROCS,HIGH-STREET,DELHI,DELHI,MR.PAWAN KUMAR,"SHOP NO.6/54, ON PLOT NO.54, BLOCK NO.6, MAIN AJMAL KHAN ROAD, KAROL BAUG , NEW DELHI - 110 005.",dlq@crocsindia.com,011 45007444,093136 39916,2018-09-02
DRQ,DRQ-DELHI CROCS,CROCS,HIGH-STREET,DELHI,DELHI,MR. NANDJEET KUMAR PASWAN,"GROUND FLOOR, D-12/185,SAI BABA CHOUK, ROHANI SECTOR-8, NEW DELHI - 110 085.",drq@crocsindia.com,1142147700,8928001918,2018-09-25
DSQ,DSQ-DELHI CROCS,CROCS,SHOP-N-SHOP,DELHI,DELHI,MR. KAILASH NAGLIYA,"CROCS KIOSK, SELECT CITYWALK, 2ND FLOOR, PLOT NO. A - 3 & P - 1B, DISTRICT CENTRE, SAKET, NEW DELHI - 110 017",dsq@crocsindia.com,011 47013300,097118 09153,2015-12-27
DZQ,DZQ-GHAZIABAD,CROCS,MALL,UTTAR PRADESH,GHAZIABAD,MR. RAJ CHOPRA,"UNIT NO.169, FIRST FLOOR, MAHAGUN METRO MALL, SECTOR-3,VAISHALI ,GHAZIABAD, 201 010 (UP)",dzq@crocsindia.com,0120 - 4150443,9137525735,2018-04-12
FCQ,FCQ-KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. MOHAMMED IKRAM,"SHOP NO.B3, LOWER BASEMENT FLOOR, FORUM COURTYARD, ELGIN ROAD, BHOWANIPORE, KOLKATA - 700 020 (W.BENGAL)",fcq@crocsindia.com,033 46005734,9073983797,2017-03-18
FMQ,FMQ-BENGALURU,CROCS,MALL,KARNATAKA,BENGALURU,MR. MOHAMMED ALI NAMDAR,"THE FORUM, SHOP NO.9, GROUND FLOOR, KORAMAMGALA, BENGALURU - 560 095 (KARNATAKA)",fmq@crocsindia.com,080 - 22067690,095382 59345,2017-02-22
FSQ,FSQ-BENGALURU,CROCS,MALL,KARNATAKA,BENGALURU,MR. MOHAMMED THOUSIF,"THE FORUM, SHOP NO.108, 1ST FLOOR, SHANTINIKETAN MALL, WHITE FIELD ROAD, BENGALURU -560 666 (KARNATAKA)",fsq@crocsindia.com,080 - 25018065,8928627682,2018-12-15
GAQ,GAQ- GOA AIRPORT,CROCS,SHOP-N-SHOP,GOA,DABOLIM,MR. JAVED KHAN,"UNIT CODEE/2, GOA INTERNATIONAL AIRPORT (ARRIVALAS) DABOLIM - 403 801 (GOA)",gaq@crocsindia.com,,099305 68739,2019-01-04
GGQ,GGQ- SHRI GANGANAGER,CROCS,HIGH-STREET,RAJASTHAN,SHRI GANGANAGAR,MR. RAM KISHAN,"SHOP NO.01,128-G-BLACK,OPP JAIN PETROL PUMP,ADJOINING OCTAVE SHOWROOM, NEAR SUKHDIA CIRCLE,SHRI GANGANAGAR- 335001 (RAJASTHAN)",ggq@crocsindia.com,0154-2472200,9326927214,2018-08-08
GMQ,GMQ- GOA,CROCS,HIGH-STREET,GOA,PANJIM,MR. AMIT NADHAWADE,"SHOP NO.2, OPP.OLD HIGH COURT, M.G.ROAD, NEAR METRO SHOES SHOWROOM, PANJIM -403001 (GOA)",gmq@crocsindia.com,0832-2226606,9082858758,2017-09-27
GOQ,GOQ- GOA,CROCS,HIGH-STREET,GOA,GOA,MR.PANKAJ PATIL,"UNIT NO.C-2, GROUND FLOOR, NAIKWADDO CALANGUTE, BARDEZ, GOA -403516 (GOA)",goq@crocsindia.com,0832 2277800,8928950612,2016-06-21
GTQ,GTQ- GHATKOPER,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. SHOAIB SAYYUM ALI,"STORE NO. F-47, R CITY MALL ,LBS MARG, GHATKOPER (WEST), MUMBAI - 400 086. (MAHARASHTRA)",gtq@crocsindia.com,022-25173845,9082858755,2017-12-30
GUQ,GUQ-GUWAHTI,CROCS,HIGH-STREET,ASSAM,GUWAHATI,MR. AJAY NARAH,"GROUND FLOOR, ROYAL CIRCLE ,OPP- INDIAN OIL PETROL PUMP, ZOO ROAD GUWAHATI-781005 (ASSAM)",guq@crocsindia.com,0361 - 2208844,091270 09902,2016-01-24
HBQ,HBQ-HYDERABAD,CROCS,HIGH-STREET,TELANGANA,HYDERABAD,MR. MOHAMMED ABDUL WAJID,"SHOP NO.A-1,6-3-349, MILLENIUM SQUARE, NAGARJUNA CIRCLE, ROAD # 1, BANJARA HILL,HYDERABAD - 500 034.(TELANGANA )",hbq@crocsindia.com,040-48511844,9372785186,2016-12-05
HCQ,HCQ- HYDERABD,CROCS,MALL,TELAMGANA,HEDERABAD,MR. MOHAMMED NAVEED,"UNIT NO.GF-133, SARATH CITY CAPITAL MALL, SUREY NO.40, GACHIBOWALI MIYAPUR ROAD, KONDAPUR , OPP.ADITYA HEIGHTS, HYDERABAD - 500 084 (TELANGANA)",hcq@crocsindia.com,040-38325031,8928386570,2018-11-04
HFQ,HFQ- HYDERABAD,CROCS,MALL,TELANGANA,HYDERABAD,MR. SYED NASEER UDDIN,"SHOP NO.G-19, GROUND FLOOR, FORUM SUJANA MALL, KUKATPALLY,MALESHIYA TOWN, HYDERABAD - 500 072.(TELANGANA )",hfq@crocsindia.com,040 30534298,9372785189,2016-11-02
HSQ,HSQ- HYDERABD,CROCS,HIGH-STREET,TELAMGANA,SECUNDERABAD,MR. MOHAMMED SAMEER,"125 MAHATMA GANDHI RAOD , BEARING MUNICIPAL NO.1-7-297 / 4 & 5, SECUNDERABAD - 500 003 (TELANGANA)",hsq@crocsindia.com,,9963196713,2019-01-07
IMQ,IMQ- MALAD,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. J. MOHD. GHOUSE,"SHOP NO.221, 2ND FLOOR, INFINITI MALL, LINK ROAD, MALAD (WEST), MUMBAI - 400 064. (MAHARASHTRA)",imq@crocsindia.com,022 28809798,9137525742,2018-04-22
IMQ,IMQ- MALAD,CROCS,MALL,MAHARASHTRA,MUMBAI,MR.,"UNIT NO.SF221, SECOND FLOORE, INFINITI MALL, LINK ROAD, MALAD (WEST) , MUMBAI-400 004. (MAHARASHTRA)",imq@crocsindia.com,,,
IPQ,IPQ- IMPHAL,CROCS,HIGH-STREET,MANIPUR,IMPHAL,MR. PRANIT SUBBA,"THANGMEIBAND MEISNAM LEIKAI, KOK SAM LAI BUILDING OPPOSITE TO THAU GROUND, IMPHAL,MANIPUR-795001 (MANIPUR)",ipq@crocsindia.com,7085079685,9152035713,2018-08-25
ISQ,ISQ- INDORE,CROCS,MALL,MADHYA PRADESH,INDORE,MR. MEHDI HASAN ZAIDI,"S-06, 2ND FLOOR, TREASURE ISLAND MALL,, 11, SOUTH TUKOGANJ, M.G. ROAD, INDORE - 452 001 (MP)",isq@crocsindia.com,0731 4050670,8878900051,2018-07-06
ITQ,ITQ- ITANAGAR,CROCS,HIGH-STREET,ARUNACHAL PRADESH,ITA NAGER,MR. SIDDHARTH LAMA,"GROUD FLOOR,D-SECTOR,RWD COLONY,PAPUM PARE, NH-52A,ITA NAGAR, ITA NAGAR MAIN ROAD, ITA NAGAR - 791 111 (ARUNACHAL PRADESH) )",itq@crocsindia.com,0360 2291016,9082822539,2017-10-26
JHQ,JHQ-JAMSHEDPUR,CROCS,HIGH STREET,JHARKHAND,JAMSHEDPUR,MR. ABILASH SINGH,"GROUND FLOOR,HINDUSTAN BUILDING, MAIN ROAD, BISTUPUR, JAMSHEDPUR- 831 001. (JHARKHAND)",jhq@crocsindia.com,6572249349,9326927215,2018-08-21
JLQ,JLQ-JALANDHAR,CROCS,HIGH-STREET,PUNJAB,JALANDHAR,MR. GAURAV DATT BHATT,"SHOP NO. 496-L, MODEL TOWN, JALANDHAR, PUNJAB - 144 003.",jlq@crocsindia.com,0181-5125800,9137523823,2018-02-17
JMQ,JMQ-JAIPUR,CROCS,MALL,RAJASTHAN,JAIPUR,MR. DEEPAK VAISHNAV,"SHOP NO.10,GROUND FLOOR, MGF METROPOLITAN MALL, BAIS GODOWN, JAIPUR- 302001 (RAJASTHAN)",jmq@crocsindia.com,0141-4916774,8928001915,2017-08-05
JPQ,JPQ-JAIPUR,CROCS,HIGH-STREET,RAJASTHAN,JAIPUR,MS. RANU VAISHNAV,"SHOP NO.107, SONI HOUSE, PANCHBATTI, MI ROAD, JAIPUR - 302 001 (RAJASTHAN)",jpq@crocsindia.com,0141 4029181,8928406195,2018-11-08
KLQ,KLQ-KOCHI,CROCS,MALL,KERALA,KOCHI,MR. ANWAR P.Z.,"S 06, 34/1000, NH 47, LULU INTERNATIONAL SHOPPING MALL, EDAPALLY, KOCHI - 682 024 .(CST-3207174349 C) (KERALA)",klq@crocsindia.com,0484 - 4051442,8593877783,2016-04-02
KPQ,KPQ- KURLA,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. NAEEM MEMON,"SHOP NO.G-34,PHOENIX MARKETCITY MALL, LBS ROAD, KURLA ,(WEST),MUMBAI - 400 070. (MAHARASHTRA)",kpq@crocsindia.com,022 - 61801354,8879443189,2016-03-17
KRQ,KRQ- KEMPS CORNER,CROCS,HIGH-STREET,MAHARASHTRA,MUMBAI,MR. ABID PATEL,"GROUND FLOOR, SHOP NO .D, INDIA HOUSE NO.2, KEMPS CORNER , MUMBAI - 4000 36. (MAHARASHTRA)",krq@crocsindia.com,022-23854152,8928406198,2018-04-08
LGQ,LGQ-LUCKNOW,CROCS,MALL,UTTAR PRADESH,LUCKNOW,MR. ASAD HUSSAIN SYED,"UNIT NO.108 B, UPPER GROUND FLOOR, FUN REPUBLIC MALL, BHIKAMNAGAR, GOMATI NAGAR, LUCKNOW - 226 010 (UP)",lgq@crocsindia.com,0522 - 4066691,8588898083,2016-09-22
LKQ,LKQ- LINKING ROAD,CROCS,HIGH-STREET,MAHARASHTRA,MUMBAI,MR. RAIS QURESHI,"SHOP NO.2, KADAMB HOUSE, PLOT NO.532, TPS III, BANDRA LINKING ROAD, KHAE (WEST) , MUMBAI - 400 52. (MAHARASHTRA)",lkq@crocsindia.com,022 - 26460660,8879802975,2016-06-11
LMQ,LMQ- LUDHIANA,CROCS,MALL,PUNJAB,LUDHIANA,MR. RANJIT,"UNIT NO.FF-07,FIRST FLOOR, MBD NEOPOLIS MALL, FEROZEPUR ROAD, RAJGURU NAGAR, LUDHIANA - 141001 (PUNJAB)",lmq@crocsindia.com,0161-4633430,9780888575,2017-06-05
LSQ,LSQ -LUDHIANA,CROCS,MALL,PUNJAB,LUDHIANA,MR. VISHAL KALYAN,"UNIT NO.FF-11,FIRST FLOOR, SILIVER ARC MALL, PLOT NO-B-XX-622, FEROZEPUR ROAD, LUDHIANA - 141001 (PUNJAB)",lsq@crocsindia.com,0161-4508434,9137525695,2018-03-23
LUQ,LUQ-LUCKNOW,CROCS,MALL,UTTAR PRADESH,LUCKNOW,MR. IRFAN AGHA,"UNIT NO.219, SECOND FLOOR, SAHARA GANJ MALL, SHAHNAJAF ROAD, HAZRAT GUNJ, LUCKNOW - 226 001. (UP)",luq@crocsindia.com,0522 - 4063510,9554960093,2015-05-17
MAQ,MAQ- MUMBAI-AIR PORT (C),CROCS,SHOP-N-SHOP,MAHARASHTRA,MUMBAI,MR.FARAZ AHMED,"E5-3111A, TERMINAL T2 ,LAVEL-3 SECURITY HOLD AREA , MUMBAI INTERNATIONAL AIRPORT, MUMBAI - 400 099. (MAHARASHTRA)",maq@crocsindia.com,,8879248005,2016-12-01
MDQ,MDQ- MUMBAI-AIR PORT,CROCS,SHOP-N-SHOP,MAHARASHTRA,MUMBAI,MR. MOHSIN KHAN,"TERMINAL 1, CSIA, AIRPORT, MUMBAI - 400 099. (MAHARASHTRA)",mdq@crocsindia.com,,8291935591,2017-12-06
MEQ,MEQ-CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. A. IBRAHIM,"S247, 2ND FLOOR, EXPRESS AVENUE MALL, NO.9, 45/50, WHITE ROAD, ROYAPETHA, CHENNAI - 600 014. ( T. NADU)",meq@crocsindia.com,044 - 42181517,098849 29250,2016-08-05
MGQ,MGQ- MANGALORE,CROCS,MALL,KARNATAKA,MANGALORE,MS. RAMYASHREE,"SHOP NO.UGF-14C,UPPER FLOOR, FORUM FIZA MALL, PANDESHWAR, MANGALORE - 575 001 (KARNATAKA)",mgq@crocsindia.com,0824-2498256,9137525697,2018-04-11
MHQ,MHQ- MOHALI,CROCS,MALL,PUNJAB,MOHALI,MR. SURINDER KUMAR,"SHOP NO.G-61, GROUND FLOOR, VR PUNJAB MALL, NH-21, MOHALI KHARAR ROAD, SAHIBZADA, AJIT SINGH NAGAR, MOHALI - 160055. (PUNJAB)",mhq@crocsindia.com,0172 6703374,9780888131,2016-12-30
MKQ,MKQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. C. NAGARAJAN,"UNIT NO.G-44, PHOENIX MARKET CITY MALL, PLOT NO.142, VELACHERY ROAD, VELACHERY, -600042.(T.NADU)",mkq@crocsindia.com,044-61153090,8939710105,2017-07-17
MNQ,MNQ-MANIPAL,CROCS,HIGH-STREET,KARNATAKA,MANIPAL,MR. SEKH AKRAM,"SHOP NO.4-12-D21,GROUND FLOOR,GRENVIEW APARTMENT,NEAR LAKSMINDA NAGAR,MANIPAL-UDUPI ROAD,MANIPAL-576104 (KARNATAKA)",mnq@crocsindia.com,0820-4296999,8928624118,2017-09-01
MOQ,MOQ- MYSORE,CROCS,MALL,KARNATAKA,MYSORE,MR. SYED SALMAN,"THE FORUM, SHOP NO.4, UPPER GROUND FLOOR, MALL OF MYSORE, NAZARBAD MOHALLA, MYSORE - 570 010 (KARNATAKA)",moq@crocsindia.com,0821-2300404,079770 91171,2018-01-08
MRQ,MRQ-MANGALORE,CROCS,MALL,KARNATAKA,MANGALORE,MR. CHANDRAHASA,"UNIT NO. 14C 715, FRIST FLOOR, CITY CENTER MALL, K.S. ROAD, HAMPANAKATTA, MANGALORE - 575 001 (KARNATAKA)",mrq@crocsindia.com,0824 4255517,8928624113,2016-11-13
MVQ,MVQ- CHENNAI,CROCS,MALL,TAMILNADU,CHENNAI,MR. MAHAMMED KHAN,"SHOP NO.19, FRIST FLOOR, #44, PILLAIYAR KOIL, JAWAHARLAL NEHERU ROAD, ANNA NAGAR, CHENNAI - 600 40 (T.NADU)",mvq@crocsindia.com,044-66622344,8928406191,2018-11-16
NDQ,NDQ-NOIDA,CROCS,MALL,UTTAR PRADESH,NOIDA,MR. SUDHIR RAWAT,"UNIT NO D-16A, LOWER GROUND FLOOR, PLOT NO- M-03, SECTOR -18, DLF MALL OF INDIA ,NOIDA - 201301. (UP)",ndq@crocsindia.com,0120-6209913,9711809198,2016-02-28
NGQ,NGQ- NOIDA,CROCS,MALL,UTTAR PRADESH,NOIDA,MR. NIRAJ KUMAR,"SHOP NO.61, GROUND FLOOR, THE GREAT INDIA PLACE MALL, SECTOR-38A, NOIDA - 201301. (UP)",ngq@crocsindia.com,0120 - 4101992,8588878847,2016-07-20
NPQ,NPQ- NAGPUR,CROCS,HIGH-STREET,MAHARASHTRA,NAGPUR,MR. MOHD.IMRAN ANWAR QURESHI,"GROUND FLOOR, SHUKLA BHAVAN , WEST HIGH COURT ROAD, NEAR SHANKAR NAGAR, DHARMPETH NAGPUR -440010 (MAHARASHTRA)",npq@crocsindia.com,0712-2555383,9326901628,2018-07-13
PDQ,PDQ-PUDUCHERRY,CROCS,HIGH-STREET,PONDECHARY,PUDUCHERRY,MR. A. PRAKESH,"GROUND FLOOR, SHOP NO.29, OLD NO.5, SENTHA COMPLEX, JAWAHARLAL NEHRU STREET, PUDUCHERRY - 605 001.",pdq@crocsindia.com,0413-4207795,8928627769,2018-12-28
PFQ,PFQ- PATNA,CROCS,HIGH-STREET,BIHAR,PATNA,MR. RAJ KISHORE ROY,"HOLDING NO.208/A/53, GROUND FLOOR. BESIDE BANK OF BARODA, BELOW PUNJAB & SIND BANK, FRAZER ROAD, PATNA - 800001 (BHIHAR)",pfq@crocsindia.com,0612 - 2200114,9137525696,2018-03-16
PHQ,PHQ- PHOENIX CROCS,CROCS,MALL,MAHARASHTRA,MUMBAI,MR. IMRAN ALI BANA,"UNIT NO.G-10, GROUND FLOOR, GRAND GALLERIA, PHOENIX MILLS COMPUND, 462, SENAPATI BAPAT MARG, LOWER PAREL, MUMBAI- 400 013. (MAHARASHTRA)",phq@crocsindia.com,022 - 40236296,8291100857,2016-11-12
PJQ,PJQ- PUNE J.M. ROAD.,CROCS,HIGH-STREET,MAHARASHTRA,PUNE,MR. SHAHRUKH SHAIKH,"GROUND FLOOR, SHOP NO.G1, (101 AND 102), BORAWAKE TOWER, JANGALI MAHARAJ ROAD, SHIVAJI NAGAR, PUNE - 411004 (MAHARASHTRA)",pjq@crocsindia.com,020 - 25511622,8879816985,2016-06-10
PMQ,PMQ- PUNE,CROCS,MALL,MAHARASHTRA,PUNE,MR. SARFARAZ NAZIR SHAIKH,"UNIT NO. LP-27, LOWER GROUND FLR,PHEONIX MARKET CITY PUNE, NAGAR ROAD,VIMAN NAGAR, - 411014. (MAHARASHTRA)",pmq@crocsindia.com,020 - 4930 0002.,8879814836,2016-06-22
POQ,POQ- PANVEL,CROCS,MALL,MAHARASHTRA,MUMBAI,MR.ALTAF ANWAR MEMON,"ORIAN MALL, SHOP NO. G-13, GROUND FLOOR, PLOT NO.311, MUMBAI PUNE HIGHWAY, NEAR PANVEL BUS DEPOT, PANVEL - 410 206.(MAHARASHTRA)",poq@crocsindia.com,022 39658351,8291292260,2016-10-07
PTQ,PTQ- PATIALA,CROCS,HIGH-STREET,PUNJAB,PATIALA,MR. NAVEEN KUMAR,"SHOP NO-4, BHUPINDERA ROAD, OPP. ORIEATIAL BANK, PATIALA - 147 001 (PUNJAB)",ptq@crocsindia.com,0175-5002192,7977091159,2017-12-30
RIQ,RIQ -RAIPUR,CROCS,MALL,CHATTISGARH,RAIPUR,MR.MOHIT KUMAR,"SHOP.109, 1ST FLOOR, CITY CENTER MALL, PANDRI, RAIPUR - 492 001 (CHATTISGARH )",riq@crocsindia.com,0771 - 2582860,8878202302,2016-07-04
RMQ,RMQ- RAIPUR,CROCS,MALL,CHATTISGARH,RAIPUR,MR. RAKESH YADAV,"SHOP NO.9, GROUND FLOOR, MAGNGETO MALL, G.E. ROAD, LABHANDI, RAIPUR - 492 001 (CHATTISGARH)",rmq@crocsindia.com,0771 - 2259296,9137525693,2016-08-25
RNQ,RNQ- RANCHI,CROCS,MALL,JHARKHAND,RANCHI,MR. AJAY KUMAR,"GROUND FLOOR, SHOP NO.4&5, NUCLEUS MALL,MS PLOT NO.1690, HOLDING NO.587, CIRCULAR ROAD, RANCI - 834 001 (JHARKHAND)",rnq@crocsindia.com,0651-2563327,9372785195,2017-04-09
SVQ,SVQ- SURAT,CROCS,MALL,GUJRAT,SURAT,MR. TUFEL USMAN MITHA,"FRIST FLOOR, SHOP NO.110, VR MALL, DUMAS ROAD, MUGDALLA, SURAT - 395 007 (GUJRAT)",svq@crocsindia.com,0261 6795230,8928404995,2018-11-02
TKQ,TKQ -THANE KORUM MALL,CROCS,MALL,MAHARASHTRA,THANE,MR. MOHD.IMRAN,"F-19, FRIST FLOOR, KORUM MALL, MANGAL PANDY ROAD, NEAR CADBURY JUNCTION, THANE (WEST) - 400 606.",tkq@crocsindia.com,022 - 25379957,9819462087,2016-07-21
TTQ,TTQ- TRIVANDRUM,CROCS,MALL,KERALA,TRIVANDRUM,MRS. DIVYA T.S,"SHOP NO.34, 1ST FLOOR, MALL OF TRAVANCORE, CHAKAI- ENCHAKKAL BYPASS ROAD, CHAKAI, TRIRUVANTHAPURAM - 695 024 (KERALA)",ttq@crocsindia.com,04712-776752,9137523826,2018-03-23
